,mean,std,mode,percentile_16,percentile_50,percentile_95,max_likelihood
xc/eta,97.945,"[21.631, 17.718]",174.68,"[174.68, 174.68]","[166.741, 178.791]","[141.69, 187.303]",89.487
beta/eta,6.145,"[2.866, 1.954]",3.098,"[3.098, 3.098]","[3.098, 3.476]","[1.743, 7.781]",7.215
xc^2/epsilon,182.744,"[47.883, 37.942]",295.413,"[295.413, 295.413]","[285.863, 305.283]","[259.025, 384.244]",166.204
xc,40.292,"[15.868, 11.384]",74.681,"[74.681, 74.681]","[69.147, 80.658]","[32.019, 149.329]",34.27
eta,0.393,"[0.0564, 0.0493]",0.376,"[0.376, 0.376]","[0.316, 0.41]","[0.266, 0.688]",0.383
beta,2.65,"[0.474, 0.402]",0.152,"[0.152, 0.152]","[0.118, 0.196]","[0.0293, 3.593]",2.763
epsilon,7.551,"[3.565, 2.422]",23.613,"[23.613, 23.613]","[23.613, 27.666]","[5.675, 32.415]",7.066
sqrt(xc/eta),10.685,"[1.402, 1.24]",13.217,"[13.064, 13.217]","[12.616, 13.528]","[10.721, 13.686]",9.46
s= eta^0.5*xc^1.5/epsilon,20.581,"[3.474, 2.972]",23.882,"[23.882, 23.882]","[23.366, 24.409]","[20.055, 26.636]",17.57
beta*xc/epsilon,8.947,"[4.287, 2.898]",6.21,"[6.21, 6.21]","[6.21, 6.554]","[5.283, 8.132]",13.4
eta*xc/epsilon,1.937,"[0.0788, 0.0757]",1.862,"[1.862, 1.862]","[1.822, 1.924]","[1.822, 2.031]",1.857
Fx=beta^2/eta*xc,0.191,"[0.386, 0.128]",0.059,"[0.059, 0.059]","[0.0516, 0.0675]","[0.0118, 0.659]",0.582
Dx =beta*epsilon/eta*xc^2,0.0218,"[0.023, 0.0112]",0.0102,"[0.0102, 0.0102]","[0.0093, 0.0111]","[0.00716, 0.0289]",0.0434
Pk=beta*k/epsilon,0.0406,"[0.00253, 0.00238]",0.0405,"[0.0405, 0.0405]","[0.0363, 0.0405]","[0.0151, 0.121]",0.196
Fk=beta^2/eta*k,12.084,"[1.204, 1.095]",40.453,"[40.453, 48.084]","[14.342, 48.084]","[0.0955, 80.755]",39.872
Dk =beta*epsilon/eta*k^2,313.618,"[89.24, 69.472]",386.763,"[386.763, 386.763]","[261.481, 470.378]","[7.716, 1522.167]",203.934
Fk^2/Dk=beta^3/eta*epsilon,0.457,"[0.0497, 0.0448]",0.38,"[0.38, 0.38]","[0.316, 0.458]","[0.0232, 7.509]",7.795
best fit_MedianLifetime,18.41,0.5100000000000016,18.41,"[17.92, 18.92]","[17.92, 18.92]","[17.92, 18.92]",18.41
best fit_MaxLifetime,28.42,0,28.42,"[28.42, 28.42]","[28.42, 28.42]","[28.42, 28.42]",28.42
data_MedianLifetime,18.46,0.5199999999999996,18.46,"[17.98, 18.98]","[17.98, 18.98]","[17.98, 18.98]",18.46
data_MaxLifetime,35.38,0,35.38,"[35.38, 35.38]","[35.38, 35.38]","[35.38, 35.38]",35.38
