death times,events
12,1
20,1
22,1
22,1
24,1
24,1
24,1
24,1
24,1
24,1
24,1
24,1
24,1
24,1
24,1
24,1
24,1
26,1
26,1
26,1
26,1
26,1
26,1
26,1
26,1
26,1
26,1
26,1
26,1
26,1
26,1
26,1
28,1
28,1
28,1
28,1
28,1
28,1
28,1
28,1
28,1
28,1
28,1
28,1
28,1
28,1
28,1
28,1
28,1
28,1
28,1
28,1
28,1
28,1
28,1
28,1
28,1
30,1
30,1
30,1
30,1
30,1
30,1
30,1
30,1
30,1
30,1
30,1
30,1
30,1
30,1
30,1
30,1
30,1
30,1
30,1
30,1
30,1
30,1
32,1
32,1
32,1
32,1
32,1
32,1
32,1
32,1
34,1
34,1
34,1
34,1
34,1
34,1
34,1
36,1
36,1
36,1
38,1
38,1
38,1
38,1
38,1
38,1
40,1
40,1
40,1
42,1
42,1
42,1
24,0
26,0
26,0
30,0
30,0
30,0
30,0
30,0
30,0
32,0
32,0
34,0
38,0
40,0
42,0
9,1
19,1
23,1
25,1
25,1
25,1
25,1
25,1
25,1
25,1
25,1
25,1
25,1
25,1
25,1
25,1
27,1
27,1
27,1
27,1
27,1
27,1
27,1
27,1
27,1
27,1
27,1
27,1
27,1
27,1
27,1
27,1
27,1
27,1
27,1
27,1
27,1
29,1
29,1
29,1
29,1
29,1
29,1
29,1
29,1
29,1
29,1
29,1
29,1
29,1
29,1
29,1
29,1
29,1
29,1
29,1
29,1
29,1
29,1
31,1
31,1
31,1
31,1
31,1
31,1
31,1
31,1
31,1
31,1
31,1
31,1
31,1
31,1
31,1
31,1
31,1
31,1
31,1
31,1
31,1
31,1
31,1
31,1
31,1
33,1
33,1
33,1
33,1
33,1
33,1
33,1
33,1
33,1
33,1
33,1
33,1
33,1
33,1
33,1
33,1
33,1
35,1
35,1
35,1
35,1
35,1
35,1
35,1
35,1
35,1
35,1
35,1
37,1
37,1
37,1
37,1
37,1
37,1
37,1
37,1
39,1
39,1
39,1
39,1
39,1
39,1
39,1
41,1
41,1
41,1
41,1
43,1
43,1
43,1
45,1
45,1
45,1
45,1
45,1
53,1
25,0
27,0
27,0
27,0
29,0
29,0
29,0
33,0
35,0
37,0
24,1
24,1
24,1
24,1
24,1
26,1
26,1
26,1
26,1
26,1
26,1
26,1
26,1
28,1
28,1
28,1
28,1
28,1
28,1
28,1
28,1
28,1
28,1
28,1
28,1
28,1
30,1
30,1
30,1
30,1
30,1
30,1
30,1
30,1
30,1
30,1
30,1
30,1
30,1
30,1
30,1
30,1
30,1
32,1
32,1
32,1
32,1
32,1
32,1
32,1
32,1
32,1
32,1
32,1
32,1
32,1
32,1
32,1
32,1
32,1
32,1
32,1
32,1
32,1
32,1
34,1
34,1
34,1
34,1
34,1
34,1
34,1
34,1
36,1
36,1
36,1
36,1
36,1
36,1
36,1
36,1
36,1
36,1
36,1
36,1
36,1
36,1
36,1
38,1
38,1
38,1
38,1
38,1
38,1
38,1
38,1
38,1
38,1
38,1
40,1
40,1
40,1
40,1
40,1
40,1
40,1
40,1
40,1
42,1
42,1
44,1
46,1
10,0
24,0
26,0
30,0
30,0
32,0
34,0
36,0
38,0
38,0
40,0
40,0
42,0
44,0
20,1
22,1
26,1
26,1
26,1
26,1
26,1
26,1
26,1
26,1
28,1
28,1
28,1
28,1
28,1
28,1
28,1
28,1
28,1
28,1
28,1
28,1
28,1
28,1
28,1
28,1
28,1
30,1
30,1
30,1
30,1
30,1
30,1
30,1
30,1
30,1
30,1
30,1
30,1
30,1
30,1
30,1
30,1
30,1
30,1
32,1
32,1
32,1
32,1
32,1
32,1
32,1
32,1
32,1
32,1
32,1
32,1
32,1
32,1
32,1
32,1
32,1
34,1
34,1
34,1
34,1
34,1
34,1
34,1
34,1
34,1
34,1
34,1
34,1
34,1
34,1
34,1
34,1
34,1
36,1
36,1
36,1
36,1
36,1
36,1
36,1
36,1
36,1
36,1
36,1
36,1
36,1
36,1
36,1
36,1
36,1
38,1
38,1
38,1
38,1
38,1
38,1
38,1
40,1
40,1
40,1
42,1
42,1
42,1
42,1
42,1
42,1
44,1
44,1
44,1
44,1
46,1
26,0
28,0
28,0
30,0
34,0
36,0
36,0
20,1
20,1
22,1
24,1
26,1
26,1
26,1
26,1
26,1
26,1
26,1
26,1
26,1
28,1
28,1
28,1
28,1
28,1
28,1
28,1
28,1
28,1
28,1
28,1
28,1
28,1
28,1
28,1
30,1
30,1
30,1
30,1
30,1
30,1
30,1
30,1
30,1
30,1
30,1
30,1
30,1
30,1
30,1
30,1
30,1
30,1
30,1
30,1
30,1
30,1
30,1
30,1
30,1
30,1
32,1
32,1
32,1
32,1
32,1
32,1
32,1
32,1
32,1
32,1
32,1
32,1
32,1
32,1
34,1
34,1
34,1
34,1
34,1
34,1
34,1
34,1
34,1
34,1
34,1
34,1
34,1
34,1
34,1
36,1
36,1
36,1
36,1
36,1
36,1
36,1
36,1
36,1
36,1
38,1
38,1
38,1
38,1
38,1
38,1
38,1
38,1
38,1
38,1
40,1
40,1
40,1
40,1
40,1
40,1
42,1
42,1
42,1
42,1
42,1
42,1
44,1
44,1
44,1
46,1
52,1
26,0
26,0
28,0
34,0
42,0
