,Sweden_M_1910_hetro,Sweden_F_1910_homo,Sweden_F_1910_hetro,Denmark_M_1900,Denmark_M_1900_homo,Denmark_M_1890,Denmark_M_1890_homo,Denmark_F_1900,Denmark_F_1890,humans_M_combined,humans_F_combined
xc/eta,1087260.223,456474.06,661335.316,5579527.24,1230219.53,993575.181,433204.009,660028.811,1090641.957,992226.945,1112263.025
beta/eta,37782.681,53394.9,40143.779,32494.169,49501.939,38757.218,54303.444,40127.483,39914.088,38685.77,39889.833
xc^2/epsilon,630.363,166.602,419.471,3172.649,427.188,574.209,135.766,378.523,583.98,570.737,569.247
xc,67.012,19.225,44.909,104.469,13.399,23.452,25.781,65.181,34.347,22.688,34.007
ExtH,5.941,6.152,6.362,6.693,7.131,6.98,6.689,6.733,6.6,6.994,6.598
eta,6.16e-05,6.78e-05,0.000104,4.04e-05,1.09e-05,2.36e-05,5.95e-05,9.88e-05,3.15e-05,2.29e-05,3.23e-05
beta,2.329,3.724,4.29,1.358,0.539,0.915,3.232,3.963,1.257,0.916,1.296
epsilon,7.124,4.59,5.357,11.585,0.42,0.958,4.896,11.224,2.02,0.924,1.956
sqrt(xc/eta),1042.718,675.629,655.728,2362.102,1109.153,996.782,658.182,812.422,617.56,996.106,624.675
s= eta^0.5*xc^1.5/epsilon,0.605,0.247,0.423,1.343,0.385,0.576,0.206,0.466,0.352,0.571,0.35
beta*xc/epsilon,21.905,19.488,26.386,18.477,17.189,22.399,17.019,23.013,24.096,22.24,23.975
eta*xc/epsilon,0.00058,0.000365,0.00066,0.000561,0.000347,0.000557,0.000313,0.000664,0.000535,0.000563,0.000537
Fx=beta^2/eta*xc,1312.962,6245.734,5202.289,283.482,1991.874,1714.166,6807.102,4924.89,1460.731,1660.316,1452.251
Dx =beta*epsilon/eta*xc^2,59.938,320.494,190.186,15.008,115.879,79.225,399.978,174.766,68.348,78.888,66.952
Pk=beta*k/epsilon,0.163,0.218,0.4,0.0586,0.641,0.478,0.33,0.177,0.311,0.495,0.536
Fk=beta^2/eta*k,175967.444,425770.633,355352.646,91367.312,53378.965,70911.803,350983.876,318031.183,100343.151,69514.169,205050.259
Dk =beta*epsilon/eta*k^2,1076619.946,94587.272,252717.388,1559050.066,83218.566,148494.736,1063373.846,1801554.676,322525.078,151188.496,357828.621
Fk^2/Dk=beta^3/eta*epsilon,28760.884,169513.773,181865.738,5354.533,34238.921,33863.044,115847.951,56142.528,31218.497,32685.107,31587.981
beta^2/epsilon,0.761,2.28,3.436,0.159,0.707,0.874,2.133,1.399,0.782,0.898,0.768
k/beta,0.215,0.222,0.117,0.368,0.933,0.547,0.155,0.126,0.398,0.545,0.386
k/epsilon,0.0702,0.225,0.0933,0.0432,1.233,0.522,0.102,0.0445,0.248,0.541,0.255
best fit_MedianLifetime,,,,,,,,,,,
best fit_MaxLifetime,,,,,,,,,,,
data_MedianLifetime,,,,,,,,,,,
data_MaxLifetime,,,,,,,,,,,
